x=13.689; y=-1.035; t=22.524; error=0.0;
x=13.616; y=-1.026; t=22.581; error=0.0;
x=13.543000210878086; y=-1.0189978011913297; t=22.638; error=2.2088977196230482e-06;
x=13.500999901965885; y=-1.0109994231507675; t=22.678; error=5.851202649350411e-07;
x=13.458999556893291; y=-1.0080042580830277; t=22.719; error=4.281076339696046e-06;
x=13.415997640673972; y=-1.0000145646304215; t=22.761; error=1.4754486728603453e-05;
x=13.37299696821684; y=-0.9970242187917789; t=22.802; error=2.4407818098989013e-05;
x=13.33899562562531; y=-0.9900307431198895; t=22.84; error=3.105277080178431e-05;
x=13.304995401121337; y=-0.9890384056372516; t=22.878; error=3.8680003330674484e-05;
x=13.283994160159313; y=-0.9830427507059739; t=22.909; error=4.314772995794963e-05;
x=13.261993924827944; y=-0.9820479414959165; t=22.94; error=4.8324887441358714e-05;
x=13.242993346368555; y=-0.9790516073675839; t=22.969; error=5.203451931503096e-05;
x=13.22399317513012; y=-0.9780548662225662; t=22.998; error=5.528906969342802e-05;
x=13.206992550416265; y=-0.9750584084239953; t=23.026; error=5.888157854073374e-05;
x=13.190992550783447; y=-0.9750618362225559; t=23.054; error=6.228329830103256e-05;
x=13.177992098271933; y=-0.9730647797647047; t=23.079; error=6.525990516135726e-05;
x=13.163991833888728; y=-0.972068488040164; t=23.104; error=6.897316158339161e-05;
x=13.15399150504771; y=-0.9710717819292696; t=23.124; error=7.22828443275159e-05;
x=13.143991505619018; y=-0.9710751621910853; t=23.145; error=7.564066020998308e-05;
x=13.133991163858537; y=-0.9700785857145622; t=23.165; error=7.90809201337858e-05;
x=13.12399081453864; y=-0.9690820850973851; t=23.185; error=8.25974328483382e-05;
x=13.112990815069516; y=-0.9690855025933343; t=23.203; error=8.599451386500994e-05;
x=13.100990513718678; y=-0.9680891254112106; t=23.222; error=8.962883719433213e-05;
x=13.08899051426718; y=-0.968092753647485; t=23.239; error=9.323742944177594e-05;
x=13.07698982104037; y=-0.9660969174628279; t=23.257; error=9.74505301174128e-05;
x=13.063989821722958; y=-0.9661011302142423; t=23.272; error=0.00010164112138424589;
x=13.050989230579546; y=-0.9641049764321314; t=23.287; error=0.00010552739795887707;
x=13.036989231304638; y=-0.9641094822646328; t=23.3; error=0.00011001059525768112;
x=13.023988567649152; y=-0.962113800797826; t=23.313; error=0.0001143735993651892;
x=13.00998824054413; y=-0.9611183908559597; t=23.325; error=0.00011897344063796019;
x=12.99598755267144; y=-0.9591232118936888; t=23.336; error=0.00012383903558514157;
x=12.981987195914463; y=-0.9581282190909978; t=23.347; error=0.00012885681938769263;
x=12.967986119880502; y=-0.9551332449857362; t=23.357; error=0.00013396598053656212;
x=12.953985746218637; y=-0.9541384900771731; t=23.366; error=0.00013922166411374392;
x=12.939984628852375; y=-0.9511437092010141; t=23.375; error=0.000144528912800878;
x=12.924984254628841; y=-0.9501493384684055; t=23.384; error=0.00015016622409412496;
x=12.910983139806502; y=-0.947154545698991; t=23.393; error=0.00015546266175970745;
x=12.895982420284865; y=-0.9451599495410845; t=23.403; error=0.0001609127157108027;
x=12.880981406686319; y=-0.9421650219933404; t=23.412; error=0.00016606616030883156;
x=12.86598073986053; y=-0.9401700295668595; t=23.422; error=0.0001711169383164737;
x=12.850979749635442; y=-0.9371749849483654; t=23.432; error=0.00017615280133783797;
x=12.836979122309456; y=-0.9351793811603203; t=23.443; error=0.00018059202263739007;
x=12.82197827160152; y=-0.9321836378405016; t=23.453; error=0.00018491884642882694;
x=12.807977399674217; y=-0.9291877097246694; t=23.464; error=0.0001890653735112179;
x=12.794976802752046; y=-0.9271915935789412; t=23.475; error=0.0001929927765593983;
x=12.781975918538526; y=-0.9241954277513148; t=23.487; error=0.00019690587286990145;
x=12.768975287681995; y=-0.9221995326307759; t=23.499; error=0.00020105712970580427;
x=12.756974346249821; y=-0.919203300873793; t=23.512; error=0.00020491305517996968;
x=12.744973304011829; y=-0.9162074729077827; t=23.526; error=0.00020918337230330702;
x=12.73297264602159; y=-0.9142114248619488; t=23.54; error=0.00021318703615592113;
x=12.721971749364293; y=-0.9112147145430304; t=23.554; error=0.00021656507891749927;
x=12.709970699298538; y=-0.9082189179345836; t=23.57; error=0.00022087008214921518;
x=12.698969621829885; y=-0.9052228714515128; t=23.585; error=0.0002249322500641539;
x=12.687968451291091; y=-0.9022271667303572; t=23.602; error=0.0002293469956528954;
x=12.67596686340085; y=-0.8982319335565846; t=23.619; error=0.0002342887297186818;
x=12.665965696361305; y=-0.895235826441158; t=23.637; error=0.00023830830866126463;
x=12.654963830231026; y=-0.8902399339631861; t=23.654; error=0.00024264492345360295;
x=12.644962669649484; y=-0.8872438052906791; t=23.672; error=0.00024664665988567485;
x=12.634960986165568; y=-0.8822471736765234; t=23.69; error=0.0002502337020529692;
x=12.624960065890438; y=-0.8792502429715415; t=23.707; error=0.0002534093090485508;
x=12.614958545936663; y=-0.8742532840349262; t=23.724; error=0.00025665393376234666;
x=12.603957122134855; y=-0.8692564175835348; t=23.742; error=0.0002599778614905186;
x=12.593955822781114; y=-0.8642590171356159; t=23.759; error=0.0002627574988676076;
x=12.582954884349293; y=-0.8602615987663103; t=23.775; error=0.0002654606119064696;
x=12.571953368577384; y=-0.8542643785168554; t=23.792; error=0.0002684594750605312;
x=12.559952012574145; y=-0.8492676341684319; t=23.807; error=0.0002719022639707915;
x=12.547950329160148; y=-0.8432710021778718; t=23.823; error=0.0002755165562046022;
x=12.535948974309624; y=-0.8382742550608152; t=23.837; error=0.0002789613942125982;
