x=13.689; y=-1.035; t=22.524; error=0.0;
x=13.615353421228876; y=-1.0259202848090396; t=22.581; error=0.0006514741890029152;
x=13.541835650708895; y=-1.0188718827183456; t=22.638; error=0.0011713766727881843;
x=13.499425334297472; y=-1.010798847454784; t=22.678; error=0.001587461628249105;
x=13.457093816056839; y=-1.0077806559893694; t=22.719; error=0.0019187623667783263;
x=13.41447975484166; y=-0.9998584196952738; t=22.761; error=0.0015268236061003902;
x=13.372823681735793; y=-0.9969573249807355; t=22.802; error=0.00018140917165838317;
x=13.338554579362704; y=-0.9899045519475201; t=22.84; error=0.0004555325178863598;
x=13.304584194027846; y=-0.9889091473376022; t=22.878; error=0.000425615804151021;
x=13.283240327665068; y=-0.9828131768921512; t=22.909; error=0.000782307439622594;
x=13.261273513649009; y=-0.9818165368731957; t=22.94; error=0.0007492937588650059;
x=13.242806419352215; y=-0.9789017469013342; t=22.969; error=0.0002170878591593588;
x=13.224099466696538; y=-0.9779184763972616; t=22.998; error=0.00012860684866528369;
x=13.207141407498211; y=-0.9749275928964122; t=23.026; error=0.0001588674579645388;
x=13.1908687776149; y=-0.9749295172883501; t=23.054; error=0.00014895343901001645;
x=13.17747225475439; y=-0.9728697020860646; t=23.079; error=0.0005435923018594597;
x=13.16390244518855; y=-0.9719024102531472; t=23.104; error=0.00013798804269902974;
x=13.153761979667395; y=-0.9708892727942543; t=23.124; error=0.0002625151287552355;
x=13.14370015257107; y=-0.9708902323463524; t=23.145; error=0.00031930771745074124;
x=13.133742831948725; y=-0.969895482149781; t=23.165; error=0.0002775957269325847;
x=13.123893561687263; y=-0.9689119357805376; t=23.185; error=0.00013814637587716402;
x=13.112557526237845; y=-0.9689135829590226; t=23.203; error=0.0004508336003076869;
x=13.100425741734233; y=-0.9679045247462071; t=23.222; error=0.0005821409450381261;
x=13.088681499685162; y=-0.9679064263383629; t=23.239; error=0.0003319615651011257;
x=13.077498451296451; y=-0.9660444024273673; t=23.257; error=0.0005004250897886753;
x=13.064433254398082; y=-0.9660461630474743; t=23.272; error=0.00043570678260701343;
x=13.051609482198167; y=-0.9640751409430011; t=23.287; error=0.0006140966627470554;
x=13.037740516641051; y=-0.9640772892405631; t=23.3; error=0.0007445391342161408;
x=13.024838175771468; y=-0.9620942272531932; t=23.313; error=0.0008434556296100924;
