x=13.689; y=-1.035; t=22.524; error=0.0;
x=13.61639303724872; y=-1.0260484566471024; t=22.581; error=0.00039601303707090566;
x=13.543034652795976; y=-1.019017981853111; t=22.638; error=3.904053419607799e-05;
x=13.50112623891499; y=-1.0110372765453777; t=22.678; error=0.0001316275217929106;
x=13.459590921707473; y=-1.0080757948866363; t=22.719; error=0.0005957628128743259;
x=13.416175865802911; y=-1.000005612973183; t=22.761; error=0.00017595535257953826;
x=13.373277924974216; y=-0.9970156432204182; t=22.802; error=0.0002783648714160886;
x=13.3383382271248; y=-0.9898210629707533; t=22.84; error=0.0006855375983763925;
x=13.30416516685676; y=-0.9888160645017644; t=22.878; error=0.0008548559203524263;
x=13.28322919078832; y=-0.9828358491691659; t=22.909; error=0.0007880941162541046;
x=13.260800523107187; y=-0.9818181979499576; t=22.94; error=0.0012131763275764402;
x=13.241104671643999; y=-0.9787091753640618; t=22.969; error=0.0019175110288942344;
x=13.221910940431531; y=-0.977700331822686; t=22.998; error=0.0021104432939803874;
x=13.204944479851083; y=-0.974706948458374; t=23.026; error=0.002076304960418277;
x=13.188385137578667; y=-0.9747078420607795; t=23.054; error=0.002631133167278536;
x=13.175523613108329; y=-0.9727302675328067; t=23.079; error=0.002491033448411317;
x=13.16137157262992; y=-0.9717206175654394; t=23.104; error=0.002643233811929658;
x=13.150963054458561; y=-0.9706803795738813; t=23.124; error=0.0030537182971677197;
x=13.141019466891423; y=-0.9706804636870776; t=23.145; error=0.0029976125611223727;
x=13.13122441802398; y=-0.9697005149005974; t=23.165; error=0.0027916924311922817;
x=13.121503992042852; y=-0.968728114263475; t=23.185; error=0.0025107723066567734;
x=13.110762879672361; y=-0.9687279386886094; t=23.203; error=0.002253602608600113;
x=13.09889624820309; y=-0.9677389084738881; t=23.222; error=0.002119891602892308;
x=13.086929488808279; y=-0.9677384105506402; t=23.239; error=0.002086970444223126;
x=13.075049609831598; y=-0.9657578667486924; t=23.257; error=0.0019653626434798146;
x=13.061921278409935; y=-0.9657570868526503; t=23.272; error=0.002092866514175698;
x=13.049272511335364; y=-0.9638105301811659; t=23.287; error=0.001737848065481226;
x=13.035465193826765; y=-0.9638097408411347; t=23.3; error=0.001546553761411397;
x=13.022580695983612; y=-0.9618270462174642; t=23.313; error=0.0014298030989709752;
x=13.008378458485439; y=-0.9608120618542899; t=23.325; error=0.0016323962846253493;
x=12.99453648780698; y=-0.9588340034270271; t=23.336; error=0.0014728960592507105;
x=12.98042107093215; y=-0.9578249002948721; t=23.347; error=0.001588608481669896;
x=12.966297381126987; y=-0.9547975388885855; t=23.357; error=0.0017146141047990168;
x=12.952448890149164; y=-0.9538073894049189; t=23.366; error=0.0015630229079258227;
x=12.938277015365271; y=-0.9507695860435622; t=23.375; error=0.0017383229397414971;
x=12.923263940151553; y=-0.9497679103029475; t=23.384; error=0.0017515049028959805;
x=12.909065188817866; y=-0.9467243925173757; t=23.393; error=0.0019543422921757324;
x=12.89414853343937; y=-0.9447343339488251; t=23.403; error=0.0018704295966112685;
x=12.87904599079514; y=-0.9417125545589143; t=23.412; error=0.0019750384437474205;
x=12.864369247463607; y=-0.9397543635948116; t=23.422; error=0.001649148592002959;
x=12.849291521513715; y=-0.936737026735053; t=23.432; error=0.0017285987608982355;
x=12.835239684030459; y=-0.9347279505810279; t=23.443; error=0.0017812139677716473;
x=12.820173407814575; y=-0.9317130417216843; t=23.453; error=0.001848995420585139;
x=12.806060413026193; y=-0.9286870396829087; t=23.464; error=0.0019646734560822368;
x=12.792807299174667; y=-0.9266465459672775; t=23.475; error=0.002221005777269211;
x=12.779667837357461; y=-0.9236123604400909; t=23.487; error=0.0023641588397692237;
x=12.766851239978102; y=-0.9216389554507111; t=23.499; error=0.0021788810886044117;
x=12.754857357859951; y=-0.9186389088983797; t=23.512; error=0.0021728557531465755;
x=12.743144331294888; y=-0.9157093511314174; t=23.526; error=0.0018782926044520307;
x=12.73095196940649; y=-0.9136764416691598; t=23.54; error=0.002073431770136146;
x=12.719772422757567; y=-0.9106267003668153; t=23.554; error=0.0022586396319778513;
x=12.707970671531926; y=-0.9076753683476219; t=23.57; error=0.0020551301031960932;
x=12.697045216855686; y=-0.9046945944586248; t=23.585; error=0.001978496824863395;
x=12.685924995261015; y=-0.9016606943264447; t=23.602; error=0.002102563437073883;
x=12.674357458006149; y=-0.8978039853835277; t=23.619; error=0.0016541964609546821;
