x=13.689; y=-1.035; t=22.524; error=0.0;
x=13.616; y=-1.026; t=22.581; error=0.0;
x=13.5429996322103; y=-1.0190038365821947; t=22.638; error=3.854170753931237e-06;
x=13.500999291510833; y=-1.0110056254616604; t=22.678; error=5.66990086263065e-06;
x=13.458998909066027; y=-1.0080109844998741; t=22.719; error=1.1038540411539067e-05;
x=13.41599765610493; y=-1.0000177221011028; t=22.761; error=1.7876428938772752e-05;
x=13.37299745369258; y=-0.9970206247558222; t=22.802; error=2.078134341659432e-05;
x=13.33899766763261; y=-0.9900195856989268; t=22.84; error=1.972408527908414e-05;
x=13.30499766495636; y=-0.9890196766955411; t=22.878; error=1.9814761573550588e-05;
x=13.283997269645461; y=-0.9830210604562826; t=22.909; error=2.123670536461855e-05;
x=13.261997188131073; y=-0.982022855387034; t=22.94; error=2.3027707731002558e-05;
x=13.242997062020908; y=-0.9790236541937384; t=22.969; error=2.3835951891182574e-05;
x=13.223996991778952; y=-0.9780249896851496; t=22.998; error=2.517009649868409e-05;
x=13.206996872113764; y=-0.9750256678669192; t=23.026; error=2.5857746701752757e-05;
x=13.190996872137061; y=-0.9750265312851778; t=23.054; error=2.6715026104312753e-05;
x=13.177996701811413; y=-0.9730276387157472; t=23.079; error=2.7834810150521377e-05;
x=13.16399661679083; y=-0.9720288297167384; t=23.104; error=2.9027550215260704e-05;
x=13.153996558418044; y=-0.9710294136167794; t=23.124; error=2.9614275922427838e-05;
x=13.1439965584184; y=-0.9710294982071707; t=23.145; error=2.969829473537325e-05;
x=13.133996603298353; y=-0.9700290495093272; t=23.165; error=2.92474199585734e-05;
x=13.123996639773855; y=-0.9690286848214729; t=23.185; error=2.8880964365467275e-05;
x=13.112996639775323; y=-0.9690285050148145; t=23.203; error=2.87023863024115e-05;
x=13.100996651849037; y=-0.9680283601408356; t=23.222; error=2.8557095494666883e-05;
x=13.088996651859425; y=-0.9680278608344843; t=23.239; error=2.8061292619513657e-05;
x=13.076996744251243; y=-0.9660273065625105; t=23.257; error=2.7499968292829905e-05;
x=13.063996744274181; y=-0.9660265342900713; t=23.272; error=2.6733280760107132e-05;
x=13.050996835806993; y=-0.9640259394173613; t=23.287; error=2.6131695131193368e-05;
x=13.036996835829871; y=-0.9640251390620126; t=23.3; error=2.5337411301922515e-05;
x=13.023996906225014; y=-0.9620246815471439; t=23.313; error=2.4874690210754123e-05;
x=13.009996943981927; y=-0.9610241530907234; t=23.325; error=2.4345657476428998e-05;
x=12.99599703377512; y=-0.9590235246391263; t=23.336; error=2.3710907533534997e-05;
x=12.98199709435197; y=-0.9580226769243788; t=23.347; error=2.2862320305621367e-05;
x=12.967997268304066; y=-0.9550218652627791; t=23.357; error=2.203524175221648e-05;
x=12.95399733813784; y=-0.9540208880698376; t=23.366; error=2.1056993415563833e-05;
x=12.939997535104153; y=-0.9510199690409447; t=23.375; error=2.0120594121084937e-05;
x=12.924997588445603; y=-0.950019169240471; t=23.384; error=1.9320335785179977e-05;
x=12.910997775979151; y=-0.9470182942173818; t=23.393; error=1.8428908224550787e-05;
x=12.895997930309784; y=-0.9450171370783428; t=23.403; error=1.7261606869606345e-05;
x=12.88099817309192; y=-0.9420159234229771; t=23.412; error=1.6027881720489407e-05;
x=12.865998346111924; y=-0.9400146262011184; t=23.422; error=1.4719412519659315e-05;
x=12.850998688977707; y=-0.9370129123813277; t=23.432; error=1.297876615874721e-05;
x=12.83699892211786; y=-0.9350112810791196; t=23.443; error=1.133245675070609e-05;
x=12.821999238798925; y=-0.9320096981081442; t=23.453; error=9.727935477245147e-06;
x=12.807999602458086; y=-0.9290080015338371; t=23.464; error=8.01140333019953e-06;
x=12.79499983149867; y=-0.9270065133368366; t=23.475; error=6.515516053588786e-06;
x=12.782000265611632; y=-0.9240046328014777; t=23.487; error=4.640409364555203e-06;
x=12.769000512776783; y=-0.9220030268880149; t=23.499; error=3.070014834449938e-06;
x=12.757000883875119; y=-0.9190015428846655; t=23.512; error=1.7781249440675367e-06;
x=12.745001197580441; y=-0.9160002883420914; t=23.526; error=1.2318035868210478e-06;
x=12.73300133313354; y=-0.9139994751933997; t=23.54; error=1.4327131611063709e-06;
x=12.722001526483036; y=-0.9109987663352209; t=23.554; error=1.9626714565441294e-06;
x=12.710001740447144; y=-0.9079979106084662; t=23.57; error=2.7193222020428148e-06;
x=12.699002022757254; y=-0.9049968756631959; t=23.585; error=3.721965525768141e-06;
x=12.688002302129648; y=-0.9019958514855819; t=23.602; error=4.74446759842237e-06;
x=12.676002570789437; y=-0.8979950455964175; t=23.619; error=5.581672974063402e-06;
x=12.666002849343284; y=-0.8949941172401698; t=23.637; error=6.536483792574185e-06;
x=12.655003475800847; y=-0.8899927392626593; t=23.654; error=8.049813554336944e-06;
x=12.645003969000065; y=-0.8869910957559889; t=23.672; error=9.748770329097267e-06;
x=12.635004878083816; y=-0.8819892780015559; t=23.69; error=1.177951409656129e-05;
x=12.625005513961119; y=-0.8789871592261363; t=23.707; error=1.3974592682336853e-05;
x=12.61500652387341; y=-0.8739851399113118; t=23.724; error=1.622908377220053e-05;
x=12.604007568178886; y=-0.8689828430758645; t=23.742; error=1.8751996625942432e-05;
x=12.594008804017692; y=-0.8639803721615233; t=23.759; error=2.151192159705341e-05;
x=12.583009874709818; y=-0.859977428984261; t=23.775; error=2.4636571301143355e-05;
x=12.572011455512767; y=-0.8539745317532609; t=23.792; error=2.79259801033906e-05;
x=12.560012652503138; y=-0.8489716599443814; t=23.807; error=3.1036181919049946e-05;
x=12.548014236963821; y=-0.8429684920685094; t=23.823; error=3.457514838230329e-05;
x=12.536015608589592; y=-0.8379652014376215; t=23.837; error=3.8138799308162294e-05;
x=12.52401688780706; y=-0.8329621324212253; t=23.852; error=4.1462652466554374e-05;
x=12.510018538141633; y=-0.8269582831022914; t=23.866; error=4.565043537193342e-05;
x=12.497019928090893; y=-0.821954670732336; t=23.88; error=4.9516374196760056e-05;
x=12.483021228385105; y=-0.8169510314020928; t=23.893; error=5.337197687132419e-05;
x=12.46902255845659; y=-0.8119473087646444; t=23.906; error=5.73171025703683e-05;
x=12.454024268145002; y=-0.8059430363083607; t=23.92; error=6.191772788931296e-05;
x=12.439025742116113; y=-0.8009386165656982; t=23.934; error=6.656262125760965e-05;
x=12.42302717576542; y=-0.7959340311960134; t=23.949; error=7.134707650324392e-05;
x=12.40702861778633; y=-0.7909294190642198; t=23.964; error=7.616197338566224e-05;
x=12.389029713793473; y=-0.7869244902189163; t=23.982; error=8.11457735307953e-05;
x=12.370030933749339; y=-0.781919856682422; t=24.0; error=8.590604286443767e-05;
x=12.350032031677067; y=-0.7769154670189738; t=24.021; error=9.039830317495233e-05;
x=12.330033260232002; y=-0.7709113733581435; t=24.042; error=9.46621607589302e-05;
x=12.30503385795292; y=-0.7669076393898844; t=24.071; error=9.837094732102158e-05;
x=12.279034608889589; y=-0.7609043862598805; t=24.1; error=0.00010168462291912222;
x=12.249035043923088; y=-0.7559017767587616; t=24.136; error=0.00010428749524640348;
x=12.218035815010403; y=-0.7498977941789242; t=24.172; error=0.00010829932978519725;
x=12.183036604877483; y=-0.744892268225371; t=24.214; error=0.00011378072033629786;
x=12.14703751415763; y=-0.738886815091452; t=24.256; error=0.0001192398236565116;
x=12.107038474511333; y=-0.7328804162224063; t=24.304; error=0.0001256207303191433;
x=12.067038955285025; y=-0.7268772119393444; t=24.352; error=0.00012881933888547083;
x=12.02303951070383; y=-0.7208731402753502; t=24.405; error=0.00013287018271753868;
x=11.980040282907394; y=-0.7148676087493231; t=24.458; error=0.0001383840882611986;
x=11.9360414362191; y=-0.708859157193393; t=24.511; error=0.00014681163586783422;
x=11.892042892308059; y=-0.7028484888687975; t=24.564; error=0.00015746546595648626;
x=11.849044535534293; y=-0.6968367241731415; t=24.615; error=0.00016924068497590022;
x=11.805046139003604; y=-0.6918226337543129; t=24.666; error=0.00018326918115913802;
x=11.762048672635439; y=-0.6848070877371848; t=24.716; error=0.00019895770049192213;
x=11.719050374022093; y=-0.680788839815808; t=24.765; error=0.00021708561787894492;
x=11.677053255632405; y=-0.6747687030264586; t=24.811; error=0.00023734879892745397;
x=11.636056391125974; y=-0.6697430587253361; t=24.857; error=0.00026305660553319033;
x=11.595059815211709; y=-0.6647150607832308; t=24.901; error=0.000291149818486526;
x=11.554062687901611; y=-0.6606857243217577; t=24.944; error=0.0003204668078648726;
x=11.517066331198942; y=-0.6556588375387735; t=24.979; error=0.0003475509356961415;
x=11.480069619615977; y=-0.6516285358072921; t=25.014; error=0.00037793192163779817;
x=11.447072962590735; y=-0.6476010520818598; t=25.043; error=0.00040556501456022313;
x=11.414076484290973; y=-0.6435721043515823; t=25.072; error=0.0004346775042494626;
x=11.38607985919511; y=-0.6395485507926296; t=25.095; error=0.0004584581528112801;
x=11.358083298335846; y=-0.6355245502889798; t=25.117; error=0.0004826914547241717;
x=11.33408670753975; y=-0.6315041485472576; t=25.134; error=0.0005033754668599119;
x=11.309090026149805; y=-0.6274834621021826; t=25.152; error=0.0005243244296525513;
x=11.2890925392763; y=-0.6244667554966339; t=25.163; error=0.0005412145766961492;
x=11.269097471243468; y=-0.6184503400885693; t=25.175; error=0.0005582353101848475;
x=11.24909988602091; y=-0.6154342855024469; t=25.187; error=0.0005744650641376504;
x=11.229104728213128; y=-0.6094181684621957; t=25.199; error=0.0005911818138347951;
x=11.210108068917508; y=-0.6054023328572404; t=25.211; error=0.0006073589584961717;
x=11.190113821281738; y=-0.5983859191380019; t=25.222; error=0.0006245403023415769;
x=11.170117016791808; y=-0.5943699746424295; t=25.234; error=0.0006408001878487202;
x=11.15012330337888; y=-0.5863542760476911; t=25.246; error=0.0006573911665276244;
x=11.131127252718342; y=-0.5813392925679317; t=25.258; error=0.0006728503289108867;
x=11.112133474784494; y=-0.5733245311990774; t=25.27; error=0.0006885300422752056;
x=11.09313824831305; y=-0.5673094359131684; t=25.281; error=0.0007042665362507458;
x=11.074145169191398; y=-0.5582948396671507; t=25.293; error=0.0007199480461502548;
x=11.05615077696658; y=-0.5512804367375058; t=25.305; error=0.0007351904395344254;
x=11.03915716185205; y=-0.5432668828854913; t=25.316; error=0.000749773666732383;
x=11.02316339367393; y=-0.535254431358988; t=25.328; error=0.0007632627929755032;
x=11.007170349602495; y=-0.526242076432046; t=25.339; error=0.0007768314630152435;
x=10.992176574590733; y=-0.5182304154995925; t=25.35; error=0.0007895814646758845;
x=10.977182908998765; y=-0.5102185497920144; t=25.362; error=0.0008025709497545215;
x=10.962189400153155; y=-0.5022063907511153; t=25.373; error=0.000815897087830798;
x=10.94819727356597; y=-0.4921953771376915; t=25.384; error=0.0008284532638477339;
x=10.933203730731922; y=-0.4841832817011929; t=25.395; error=0.0008417452053536309;
x=10.919210898436479; y=-0.47517214168721067; t=25.406; error=0.000854299441977629;
x=10.904217919521459; y=-0.4661604502114769; t=25.417; error=0.0008673711807768347;
x=10.889225688970292; y=-0.45614880583601747; t=25.428; error=0.0008806060504616958;
x=10.874231932515919; y=-0.4481371101736172; t=25.438; error=0.0008935163929190684;
x=10.859239489952186; y=-0.4381257832898732; t=25.449; error=0.0009064272135494105;
x=10.845246922872024; y=-0.4281153853703524; t=25.459; error=0.0009184301539663616;
x=10.830253439381574; y=-0.41910453342274906; t=25.47; error=0.00093064059180003;
x=10.816260682842378; y=-0.4090944003349837; t=25.48; error=0.0009423726956929023;
x=10.801267957145932; y=-0.39908349746905025; t=25.491; error=0.0009548706306579157;
x=10.787274781668044; y=-0.39007289038378423; t=25.502; error=0.0009669732186428057;
x=10.772282443986601; y=-0.3800614064355575; t=25.512; error=0.000980169620412581;
x=10.75729004508527; y=-0.37005001416557975; t=25.524; error=0.0009932770193096096;
x=10.742297094590294; y=-0.36103827540687417; t=25.535; error=0.0010065681241745233;
x=10.725303947816375; y=-0.352025342326011; t=25.546; error=0.0010209514467127761;
x=10.709310945951964; y=-0.3430129125002126; t=25.558; error=0.0010349053663401525;
x=10.691318539207542; y=-0.33299925684689574; t=25.57; error=0.0010502162087998182;
x=10.674324491694861; y=-0.3249866200064529; t=25.582; error=0.0010640647871984921;
x=10.657331045443863; y=-0.3159742515877494; t=25.594; error=0.0010778454857432458;
x=10.639335929224606; y=-0.3089617062399129; t=25.606; error=0.0010912847365286348;
x=10.62234214227793; y=-0.2999499802558972; t=25.619; error=0.0011043562837022456;
x=10.604346887899679; y=-0.2929377894525849; t=25.632; error=0.001117417765199694;
x=10.58735226968894; y=-0.2849263631206979; t=25.645; error=0.0011299513628222984;
x=10.571356156745425; y=-0.278916007831839; t=25.658; error=0.0011410024749958026;
x=10.555361345300092; y=-0.2709056391244542; t=25.672; error=0.0011524739267437872;
x=10.54036507291503; y=-0.2648963284690582; t=25.686; error=0.0011624840134387142;
x=10.526369536501637; y=-0.2578874084023611; t=25.702; error=0.0011723554448966568;
x=10.512372586283524; y=-0.2528788772212982; t=25.717; error=0.001181413062224188;
x=10.499376271305993; y=-0.24687089944131224; t=25.733; error=0.0011901462798084806;
x=10.487379889032423; y=-0.24086366943519508; t=25.749; error=0.001198149752520702;
x=10.476383504785138; y=-0.23485704530128623; t=25.766; error=0.0012055792647251372;
x=10.465387048675712; y=-0.22885055272795626; t=25.782; error=0.0012128626091109532;
x=10.457390568670744; y=-0.2228458622671457; t=25.799; error=0.001218432514735465;
x=10.44839420626697; y=-0.2168404094532473; t=25.816; error=0.0012247648007011006;
x=10.441398005250395; y=-0.2108359801435071; t=25.833; error=0.0012301830781031304;
x=10.434402988194085; y=-0.2028316228062836; t=25.85; error=0.001235922631627551;
x=10.429405928878339; y=-0.19782868385053975; t=25.867; error=0.0012396611538059573;
x=10.42341087803973; y=-0.18882538637447552; t=25.884; error=0.0012444026409488087;
x=10.418414070067115; y=-0.1828227277897463; t=25.902; error=0.001247967899233366;
x=10.4134192508063; y=-0.17381985155202223; t=25.919; error=0.001252406322982628;
x=10.40842303253432; y=-0.16681715185985024; t=25.936; error=0.0012562190285729433;
x=10.403428004376428; y=-0.15681466748336378; t=25.954; error=0.001260238438247411;
x=10.399431874357994; y=-0.14881273366235656; t=25.971; error=0.0012633751689797544;
x=10.394436553868292; y=-0.1378106078129962; t=25.989; error=0.0012669779218386621;
x=10.388440499046084; y=-0.1288079789431008; t=26.006; error=0.00127080825056017;
x=10.383445806062179; y=-0.11780556820742373; t=26.022; error=0.0012749158216106339;
x=10.377450577215722; y=-0.10780270706280186; t=26.039; error=0.0012792694027419298;
x=10.371455744823253; y=-0.09679988994234565; t=26.056; error=0.0012837318623468844;
x=10.365461033747433; y=-0.0857970067239592; t=26.072; error=0.0012883108858002383;
x=10.359466436008592; y=-0.07479406175683827; t=26.089; error=0.00129300023063858;
x=10.353471845371; y=-0.06379111292083517; t=26.105; error=0.0012977079888428784;
x=10.34747833762362; y=-0.05178786898920984; t=26.122; error=0.0013030995623859222;
x=10.341484206122967; y=-0.04078467002014308; t=26.138; error=0.0013082364195582082;
x=10.334490392317635; y=-0.02878106354307393; t=26.154; error=0.0013138838271397018;
x=10.328495627289174; y=-0.0177782097199269; t=26.17; error=0.0013184907653280569;
x=10.321501574064133; y=-0.005774742742203728; t=26.186; error=0.0013239455765224322;
x=10.31550734295364; y=0.006228139969629346; t=26.202; error=0.0013288057260603028;
x=10.30951347249892; y=0.018231202785928977; t=26.218; error=0.0013339843729324534;
x=10.303519441364777; y=0.03023418536372632; t=26.234; error=0.0013390417631564285;
x=10.297526313265754; y=0.04323735480770055; t=26.25; error=0.00134463845469623;
x=10.292532410745457; y=0.05523989360654544; t=26.265; error=0.0013493692442879694;
x=10.28653938047205; y=0.06824310813765404; t=26.281; error=0.0013550827043139204;
x=10.281546094313619; y=0.08024590336793329; t=26.296; error=0.0013603287108613213;
x=10.275554234709082; y=0.09424938930821015; t=26.312; error=0.0013668027495658227;
x=10.270561257380288; y=0.10625231301013227; t=26.327; error=0.0013723329487683776;
x=10.265569658796325; y=0.12025531067408114; t=26.342; error=0.0013785195075486272;
x=10.260576884982905; y=0.13325808767163178; t=26.357; error=0.0013840451123476824;
x=10.25458470996275; y=0.14726143864658842; t=26.372; error=0.001390364412535706;
x=10.249592241608216; y=0.16126412623608266; t=26.385; error=0.0013959818276947675;
x=10.244599848253769; y=0.17526684056561442; t=26.399; error=0.0014016786173141754;
x=10.239607263438742; y=0.18926948663215323; t=26.412; error=0.0014072544877341566;
x=10.234614803397193; y=0.2032721771855271; t=26.425; error=0.0014129465696110079;
x=10.229622169518816; y=0.21827463055011032; t=26.437; error=0.0014183715836899324;
x=10.224629112485275; y=0.23227710824014053; t=26.45; error=0.001423653039249018;
x=10.218636384480018; y=0.2462802225742808; t=26.462; error=0.001429669558361502;
x=10.213643797962199; y=0.26028286803369693; t=26.474; error=0.0014353488105731567;
x=10.209652148664514; y=0.27528509239824667; t=26.485; error=0.0014410969268785767;
x=10.20465931752131; y=0.2882878473823048; t=26.496; error=0.0014468069926617578;
x=10.199667079876352; y=0.30229061722602785; t=26.508; error=0.0014528208373899593;
x=10.194674688451244; y=0.3152935410456341; t=26.519; error=0.0014589218426566027;
x=10.190682740915747; y=0.32929583924535305; t=26.53; error=0.001464696046227051;
x=10.18569039764184; y=0.3422987815522104; t=26.541; error=0.0014708781133119615;
x=10.181698893491244; y=0.3563012061499645; t=26.551; error=0.001477020499793617;
x=10.177706075773546; y=0.36830359785633837; t=26.562; error=0.0014825351156176733;
x=10.173713882900532; y=0.3813059974835095; t=26.572; error=0.001488374355666534;
x=10.169720891086762; y=0.3933083312722006; t=26.582; error=0.0014937920460323844;
x=10.16572839805269; y=0.40631063873560447; t=26.591; error=0.0014994457704196466;
x=10.162734255770953; y=0.4173122346196891; t=26.601; error=0.0015036925331621312;
x=10.158741175313152; y=0.4303143616940387; t=26.61; error=0.0015089358858422037;
x=10.154747471515078; y=0.44231645859304997; t=26.619; error=0.0015138615831932281;
x=10.150753724720456; y=0.4543185411848525; t=26.628; error=0.0015187665424212216;
x=10.146759914811408; y=0.46632060277486215; t=26.638; error=0.0015236345393728737;
x=10.143766076486848; y=0.4783221415131407; t=26.647; error=0.0015280482205973338;
x=10.139772476283964; y=0.4903242728830071; t=26.656; error=0.0015331073928319344;
x=10.135779019007256; y=0.5023264518093149; t=26.664; error=0.0015382928902197613;
x=10.131785570159373; y=0.5143286335401226; t=26.673; error=0.0015434984804771972;
x=10.127791863297556; y=0.5263307294196713; t=26.682; error=0.0015485116306939225;
x=10.123798172236597; y=0.5383328305569566; t=26.691; error=0.001553549552744573;
x=10.118803999832084; y=0.5493354776018267; t=26.7; error=0.0015588188332742343;
x=10.114810393869393; y=0.5613376070551678; t=26.708; error=0.0015639472042182855;
x=10.109816763426366; y=0.5733402590537258; t=26.717; error=0.001569521209077221;
x=10.104822409123054; y=0.584342823531746; t=26.725; error=0.0015746529151196796;
x=10.09982863506026; y=0.5963454157771643; t=26.733; error=0.001580120146234385;
x=10.095833655195378; y=0.6063474223698022; t=26.742; error=0.0015844645869891733;
x=10.090839574278634; y=0.6183498869415902; t=26.75; error=0.0015896791262454072;
x=10.085844370225356; y=0.6283522834777261; t=26.758; error=0.0015942495669114052;
x=10.08084987728902; y=0.6403545766048291; t=26.767; error=0.001599115125543914;
x=10.076854169642093; y=0.6493564830918062; t=26.776; error=0.0016030134609006743;
x=10.071859312872801; y=0.6603588194734235; t=26.784; error=0.0016077341119467682;
x=10.067864109172627; y=0.6703607366593485; t=26.793; error=0.0016119208784279551;
x=10.063869029267455; y=0.6803627032935304; t=26.802; error=0.0016162215608914031;
x=10.059873922440174; y=0.6903646591741879; t=26.811; error=0.0016205045797947043;
x=10.055878844266312; y=0.7003666264999058; t=26.82; error=0.001624818523612572;
x=10.050883705677627; y=0.7103690557288393; t=26.83; error=0.0016294935757275306;
x=10.04688875049535; y=0.7203710721801159; t=26.839; error=0.0016339266709599792;
x=10.042894259235563; y=0.731373073796889; t=26.848; error=0.0016386064909225872;
x=10.03789860394117; y=0.7403754861502299; t=26.857; error=0.0016430006672420103;
x=10.032903958515435; y=0.7513779184754569; t=26.866; error=0.0016479685441879845;
x=10.027908928757848; y=0.7613804020530902; t=26.876; error=0.0016527738245202593;
x=10.023913902344587; y=0.77138239005335; t=26.885; error=0.0016571722164708397;
x=10.018918916815384; y=0.7813848957175842; t=26.895; error=0.0016620301628360507;
x=10.012924851374652; y=0.7933878611633494; t=26.904; error=0.0016677855599354194;
x=10.007929842194425; y=0.8033903550168566; t=26.914; error=0.0016726307361256622;
x=10.002935562511686; y=0.8143929533668176; t=26.924; error=0.0016779738661253584;
x=9.997941051274953; y=0.8253954466072676; t=26.934; error=0.001683106869995465;
x=9.992946605819215; y=0.836397969708341; t=26.944; error=0.0016883074016331946;
x=9.986951996958284; y=0.847400908615944; t=26.954; error=0.001693765969314358;
x=9.98195737242056; y=0.8584033504234326; t=26.964; error=0.0016988096899291465;
x=9.976963153733656; y=0.8704057576697887; t=26.974; error=0.0017040597820570942;
x=9.970968353771019; y=0.8814085924594219; t=26.985; error=0.0017093395632773874;
x=9.963973870589612; y=0.8934118089044021; t=26.995; error=0.0017151175784365501;
x=9.957978886011148; y=0.9044145431056794; t=27.006; error=0.0017202180154399988;
x=9.95198430034998; y=0.9164172487486141; t=27.017; error=0.0017255263528614796;
x=9.944988572029223; y=0.9264202375650695; t=27.028; error=0.0017304188505081982;
x=9.938993691228696; y=0.9384227958001908; t=27.039; error=0.0017354452302005502;
x=9.93199810157198; y=0.9484258815918286; t=27.05; error=0.0017405013823336099;
x=9.92500333970236; y=0.9604289356360011; t=27.06; error=0.0017460090521438248;
x=9.918007762725157; y=0.9704320302949563; t=27.071; error=0.0017510843714364519;
x=9.912012699415119; y=0.9814347215979344; t=27.082; error=0.0017561281755503612;
x=9.906016864637172; y=0.9904374970208565; t=27.093; error=0.0017607985050263743;
x=9.900022078872631; y=1.0014403395461884; t=27.104; error=0.001766132279925411;
x=9.895026328170717; y=1.0104426989549382; t=27.116; error=0.0017705168139803102;
x=9.889031039506929; y=1.020445524247717; t=27.127; error=0.001775551411698874;
x=9.884035282113238; y=1.0294478799429447; t=27.139; error=0.0017799340951773661;
x=9.879039692676377; y=1.0384503288419005; t=27.151; error=0.0017844928161695937;
x=9.873044305749316; y=1.0474534025167535; t=27.164; error=0.0017896796846808684;
x=9.868048882649544; y=1.0564559437165622; t=27.176; error=0.001794415480960478;
x=9.862053409556767; y=1.0654589600107711; t=27.189; error=0.0017995099353199163;
x=9.85605769300085; y=1.0744618141682651; t=27.202; error=0.0018043323270910566;
x=9.851061386667984; y=1.0824641215247834; t=27.216; error=0.001808367633616021;
x=9.845065434403459; y=1.0914668187007157; t=27.229; error=0.0018129278995162054;
x=9.83906913410515; y=1.0994695921407496; t=27.242; error=0.0018173466358815816;
x=9.834073189143618; y=1.1084718437447274; t=27.256; error=0.0018215539923023768;
x=9.828077187237673; y=1.1174745078584167; t=27.269; error=0.0018260629149998645;
x=9.823080953885764; y=1.1254768607807317; t=27.283; error=0.0018301855285226343;
x=9.817085133396894; y=1.134479645720139; t=27.296; error=0.0018349021625630746;
x=9.812089040258972; y=1.143481815089641; t=27.31; error=0.0018389629266380677;
x=9.806092876675542; y=1.1524843715199429; t=27.324; error=0.0018432954828683078;
x=9.80109647508607; y=1.1604866194014265; t=27.339; error=0.0018472397946847467;
x=9.79510061217883; y=1.1694893760902183; t=27.353; error=0.001851914767558704;
x=9.78910495857145; y=1.1784922721698312; t=27.367; error=0.0018568278524064721;
x=9.783109084998566; y=1.1874950217552631; t=27.382; error=0.0018614939115544518;
x=9.776113177473729; y=1.1964982032986915; t=27.396; error=0.0018664879351943371;
x=9.769117469742781; y=1.2055015400880804; t=27.41; error=0.0018717268129036743;
x=9.762121927862019; y=1.2145050057427342; t=27.423; error=0.0018771692553519606;
x=9.75512581617109; y=1.2225084063454805; t=27.437; error=0.0018822199005889568;
x=9.74813007290026; y=1.2315117155198136; t=27.45; error=0.0018874184943322239;
x=9.740133546990075; y=1.2395151881016206; t=27.463; error=0.0018922800432278853;
x=9.733137306606306; y=1.2485181109876917; t=27.476; error=0.0018968730288815938;
x=9.725140240870541; y=1.255521463014961; t=27.489; error=0.0019013150577286081;
x=9.718144222670567; y=1.264524558557364; t=27.502; error=0.0019061805566813557;
x=9.711147342822768; y=1.2715276773194197; t=27.516; error=0.0019105479698831244;
x=9.704150989213602; y=1.2795308664447327; t=27.529; error=0.0019152880309336968;
x=9.697154216905082; y=1.2865340926486128; t=27.542; error=0.0019198064794414276;
x=9.69015796852781; y=1.2945373737659744; t=27.555; error=0.001924684183887108;
