x=13.689; y=-1.035; t=22.524; error=0.0;
x=13.61639303724872; y=-1.0260484566471024; t=22.581; error=0.00039601303707090566;
x=13.54303502238943; y=-1.0190141264551158; t=22.638; error=3.776406354740337e-05;
x=13.501126948462218; y=-1.0110316361832659; t=22.678; error=0.0001308310366517219;
x=13.459592009464743; y=-1.0080648548263034; t=22.719; error=0.000595551303281281;
x=13.41617821857858; y=-0.9999878704753891; t=22.761; error=0.0001786308683237443;
x=13.373280479680863; y=-0.9969950049708973; t=22.802; error=0.0002805241552759666;
x=13.338340561977123; y=-0.98980149250248; t=22.84; error=0.0006886680859368674;
x=13.304167504398956; y=-0.9887964025737104; t=22.878; error=0.0008570302431938281;
x=13.28323192242879; y=-0.9828148077250913; t=22.909; error=0.0007900881812068325;
x=13.260803337850037; y=-0.9817953266078753; t=22.94; error=0.0012140393315700708;
x=13.241107617114773; y=-0.9786854759654652; t=22.969; error=0.0019183426056367703;
x=13.221913956860213; y=-0.9776752833204884; t=22.998; error=0.0021111648213737143;
x=13.204947615708024; y=-0.9746812231171608; t=23.026; error=0.0020769930146695243;
x=13.188388273411498; y=-0.9746812231171608; t=23.054; error=0.002631108981803399;
x=13.175526917450297; y=-0.9727025529692837; t=23.079; error=0.0024909058660923023;
x=13.161374962915273; y=-0.9716916990739248; t=23.104; error=0.0026430794837099007;
x=13.150966505500982; y=-0.9706508533324957; t=23.124; error=0.003053521290412421;
x=13.141022917933489; y=-0.9706508533324957; t=23.145; error=0.0029974857841486044;
x=13.131227825105714; y=-0.9696713440497183; t=23.165; error=0.002791588862666705;
x=13.121507363668716; y=-0.9686992979060185; t=23.185; error=0.002510708591088453;
x=13.110766251296791; y=-0.9686992979060185; t=23.203; error=0.0022538977391198074;
x=13.098899607887985; y=-0.9677104109552844; t=23.222; error=0.002120261502513087;
x=13.086932848482814; y=-0.9677104109552844; t=23.239; error=0.0020873373493104056;
x=13.075052878038461; y=-0.9657304158812255; t=23.257; error=0.0019656956860620387;
x=13.061924546593632; y=-0.9657304158812255; t=23.272; error=0.0020928885395787677;
x=13.049275690458648; y=-0.9637844380143049; t=23.287; error=0.0017377313843267442;
x=13.035468372927486; y=-0.9637844380143049; t=23.3; error=0.0015467218427813402;
x=13.022583805314255; y=-0.9618021968430389; t=23.313; error=0.0014299417739309633;
x=13.008381529513649; y=-0.960787748571567; t=23.325; error=0.0016323288222845006;
x=12.994539470054997; y=-0.9588103115060451; t=23.336; error=0.0014727964709999803;
x=12.980423992103653; y=-0.9578020630809492; t=23.347; error=0.001588389093789837;
x=12.966300126807349; y=-0.9547755205174555; t=23.357; error=0.001714631129186923;
x=12.952451566751154; y=-0.9537863376562986; t=23.366; error=0.001563104962326096;
x=12.938279492580033; y=-0.9507494646196302; t=23.375; error=0.001738652857523842;
x=12.923266363978179; y=-0.9497485893795065; t=23.384; error=0.0017517708629425487;
x=12.909067422446071; y=-0.9467059590511978; t=23.393; error=0.0019548186825176115;
x=12.894150613592874; y=-0.9447170512041047; t=23.403; error=0.0018709062253260353;
x=12.879047826502848; y=-0.9416964937860998; t=23.412; error=0.0019756258210649174;
x=12.864370913878014; y=-0.9397395721027887; t=23.422; error=0.0016497709788002041;
x=12.849292843277823; y=-0.9367239579827503; t=23.432; error=0.0017293302950463013;
x=12.835240771787271; y=-0.934716519198386; t=23.443; error=0.0017819217910289538;
x=12.820174177484379; y=-0.9317032003378077; t=23.453; error=0.0018497886090100444;
x=12.8060608160922; y=-0.9286789086109124; t=23.464; error=0.0019655874207000256;
x=12.79280746873649; y=-0.926639932094649; t=23.475; error=0.002221900591370996;
x=12.77966756813458; y=-0.9236076473403619; t=23.487; error=0.002365201686189839;
x=12.766850727072416; y=-0.9216358256384908; t=23.499; error=0.0021799075858451927;
x=12.754856474033652; y=-0.9186372623787997; t=23.512; error=0.0021740014144986997;
x=12.743143141257352; y=-0.9157089291847251; t=23.526; error=0.0018795336149292033;
x=12.730950641641364; y=-0.9136768459153934; t=23.54; error=0.002074680275249962;
x=12.719770898483558; y=-0.9106278250541738; t=23.554; error=0.002259957468825816;
x=12.707968936824903; y=-0.9076773346395095; t=23.57; error=0.0020565336262989933;
x=12.697043201744528; y=-0.9046975887084985; t=23.585; error=0.0019800282830926483;
x=12.685922697716961; y=-0.9016647239737076; t=23.602; error=0.002104185065275166;
x=12.67435490147862; y=-0.8978087918942609; t=23.619; error=0.0016561732049351068;
x=12.664399023044965; y=-0.8948220283641641; t=23.637; error=0.0016108386367721058;
x=12.65346931021162; y=-0.8898539770762803; t=23.654; error=0.0015376390741986424;
x=12.64322716013789; y=-0.8867813320541613; t=23.672; error=0.0017862745721813928;
x=12.633218628668407; y=-0.8817770663194201; t=23.69; error=0.0017952669013147238;
x=12.6232348385797; y=-0.8787819292928081; t=23.707; error=0.001778580803070475;
x=12.613374720064225; y=-0.8738518700350705; t=23.724; error=0.0016320163467753819;
x=12.602449573196832; y=-0.8688858941862562; t=23.742; error=0.001554620020683091;
x=12.592583516677594; y=-0.8639528659266371; t=23.759; error=0.0014172673084226156;
x=12.581487967730869; y=-0.8599181208551003; t=23.775; error=0.0015142475944388758;
x=12.570185456001063; y=-0.8537531144570247; t=23.792; error=0.0018312625140610521;
x=12.557747925240841; y=-0.8485708099735987; t=23.807; error=0.0022926065514179356;
x=12.545677488310211; y=-0.8425355915082842; t=23.823; error=0.0023684880823814382;
x=12.533745074671005; y=-0.8375637524919483; t=23.837; error=0.00229673684335458;
x=12.521486411266533; y=-0.8324559760734187; t=23.852; error=0.0025717873850106526;
x=12.507404696955316; y=-0.8264209556543256; t=23.866; error=0.0026591145609023777;
x=12.494205420191726; y=-0.8213443107452528; t=23.88; error=0.0028704711640432333;
x=12.480439305672967; y=-0.816427841274267; t=23.893; error=0.0026238370841072316;
x=12.466546191335294; y=-0.8114660147250987; t=23.906; error=0.0025112381879856052;
x=12.451448267225642; y=-0.8054268450812379; t=23.92; error=0.00261531006051651;
x=12.436457825905334; y=-0.8004300313078019; t=23.934; error=0.0026052856729495448;
x=12.420725722635847; y=-0.7955137490360874; t=23.949; error=0.0023256778644094446;
x=12.404871045211227; y=-0.7905591623408934; t=23.964; error=0.0021741173690321587;
x=12.386582298357537; y=-0.7864949963734069; t=23.982; error=0.0024698805426252865;
x=12.367737513649944; y=-0.7815358425029879; t=24.0; error=0.002309607470160076;
x=12.348402225683355; y=-0.7767020205113403; t=24.021; error=0.0016253229040999527;
x=12.328256887842967; y=-0.7706584191592238; t=24.042; error=0.0017762650316837654;
x=12.302736407388933; y=-0.7665751422865784; t=24.071; error=0.0023031186650997815;
x=12.27652508487159; y=-0.7605263755518068; t=24.1; error=0.0025198263850428355;
x=12.24671683344888; y=-0.7555583336480218; t=24.136; error=0.00232549320932616;
x=12.215906818319958; y=-0.7495951049133918; t=24.172; error=0.002131982546087804;
x=12.180761391678358; y=-0.7445743296788774; t=24.214; error=0.002278719473741785;
x=12.144484443200353; y=-0.73852817159921; t=24.256; error=0.002559423382725644;
x=12.104650103756248; y=-0.7325530206825943; t=24.304; error=0.0023920290271205588;
x=12.064307852835666; y=-0.7265016830445069; t=24.352; error=0.002737878036465854;
x=12.020983831471144; y=-0.7205938619493447; t=24.405; error=0.0020566680949874773;
x=11.977721592240977; y=-0.7145572704288563; t=24.458; error=0.002321023780477756;
x=11.933780612242078; y=-0.7085653186108246; t=24.511; error=0.0022615547594761654;
x=11.890127860921634; y=-0.7026126707034915; t=24.564; error=0.0019117867853598175;
x=11.845793974903076; y=-0.6964265470729949; t=24.615; error=0.00325690730319395;
x=11.801671460864032; y=-0.6914126250231035; t=24.666; error=0.0033799677725020274;
x=11.758070459166543; y=-0.6843147875374659; t=24.716; error=0.003988835328842418;
x=11.714880632611738; y=-0.680297129253298; t=24.765; error=0.0041789011672975305;
x=11.673530265192815; y=-0.6743899339077375; t=24.811; error=0.003522959021776777;
x=11.633526420054457; y=-0.6695114162079377; t=24.857; error=0.0025213710295899803;
x=11.59367947952772; y=-0.6646520332168722; t=24.901; error=0.0013655970122519138;
x=11.552943979807498; y=-0.6606778381222164; t=24.944; error=0.0011040683504517225;
x=11.516622887910525; y=-0.6557695824604635; t=24.979; error=0.0004419341246764364;
x=11.479350970922127; y=-0.6517401860292852; t=25.014; error=0.000699100882064971;
x=11.446745725442195; y=-0.6477880350620209; t=25.043; error=0.0003310357770376729;
x=11.413657834974774; y=-0.6437773816720304; t=25.072; error=0.00040821051485165783;
x=11.385928677547975; y=-0.6398160734682018; t=25.095; error=0.00019727103503070596;
x=11.358279760554913; y=-0.6358662281834784; t=25.117; error=0.00031009815700893116;
