x=13.689; y=-1.035; t=22.524; error=0.0;
x=13.616375774217676; y=-1.0260463283282066; t=22.581; error=0.0003786193030801756;
x=13.543756634836551; y=-1.0190828492094686; t=22.638; error=0.0007611571896750029;
x=13.501841058288901; y=-1.0110989298670592; t=22.678; error=0.0008468566371748878;
x=13.4602095751397; y=-1.0081252524992592; t=22.719; error=0.0012160428475807407;
x=13.417242353128215; y=-1.0001313507296805; t=22.761; error=0.0012492775149546193;
x=13.373170303502722; y=-0.9970565565697624; t=22.802; error=0.00017944895826606426;
x=13.339424905439989; y=-0.99010897461567; t=22.84; error=0.0004386571551818968;
x=13.304985416522811; y=-0.9890960484710473; t=22.878; error=9.714930055037364e-05;
x=13.284279590535988; y=-0.9831800981890977; t=22.909; error=0.00033257514268184084;
x=13.261956810314325; y=-0.9821654263608403; t=22.94; error=0.00017097142980497442;
x=13.24294982055695; y=-0.9791643227149389; t=22.969; error=0.00017181365239632033;
x=13.223704463237008; y=-0.978151409171784; t=22.998; error=0.00033206432446214386;
x=13.206338568836918; y=-0.975086839571768; t=23.026; error=0.0006671074086848636;
x=13.191415962629778; y=-0.975086839571768; t=23.054; error=0.00042493060680056727;
x=13.177875121908171; y=-0.9730036333069054; t=23.079; error=0.00012493093587319747;
x=13.164164793054132; y=-0.9720243241030456; t=23.104; error=0.0001665785480764707;
x=13.1544560475515; y=-0.9710534495527824; t=23.124; error=0.00045916905810612207;
x=13.144806975149049; y=-0.9710534495527824; t=23.145; error=0.0008087433127231792;
x=13.134578306789994; y=-0.9700305827168768; t=23.165; error=0.0005791148814561861;
x=13.124441899140203; y=-0.9690169419518977; t=23.185; error=0.00044222378932611315;
x=13.113230089693722; y=-0.9690169419518977; t=23.203; error=0.0002307125850307643;
x=13.10113599134619; y=-0.9680091004229366; t=23.222; error=0.00013629550225895126;
x=13.08903633063801; y=-0.9680091004229366; t=23.239; error=3.7453076719755564e-05;
x=13.077124635439846; y=-0.9660238178899093; t=23.257; error=0.00012689083790944777;
x=13.064343116785468; y=-0.9660238178899093; t=23.272; error=0.00034394246662673836;
x=13.051165435136863; y=-0.9639964822516625; t=23.287; error=0.00016547253265144772;
x=13.037274106407795; y=-0.9639964822516625; t=23.3; error=0.0002741289794001799;
x=13.024553910325437; y=-0.9620395290082232; t=23.313; error=0.0005553189994211697;
x=13.01059372466019; y=-0.9610423728892769; t=23.325; error=0.0005952347720549496;
x=12.996594705214314; y=-0.9590425129684372; t=23.336; error=0.0005962228144046483;
x=12.982774378358643; y=-0.9580553467644609; t=23.347; error=0.0007763537252259204;
x=12.968919045012257; y=-0.9550863467616636; t=23.357; error=0.0009230923560531307;
x=12.95488702262662; y=-0.9540840594484038; t=23.366; error=0.000890996706503794;
x=12.940854206894166; y=-0.9510770275057352; t=23.375; error=0.0008576728133039891;
x=12.925877384610812; y=-0.9500785726868449; t=23.384; error=0.0008808958067825989;
x=12.911869976865441; y=-0.9470769853128371; t=23.393; error=0.0008733764851404743;
x=12.896916727914002; y=-0.9450832187859785; t=23.403; error=0.0009204973843790937;
x=12.882038638995033; y=-0.9421076010021847; t=23.412; error=0.0010441977483565568;
x=12.867286802175848; y=-0.9401406894262935; t=23.422; error=0.0012944702987854177;
x=12.852571763461276; y=-0.937197681683379; t=23.432; error=0.0015841459611229823;
x=12.838682861490145; y=-0.9352135528303606; t=23.443; error=0.0016963571576676126;
x=12.823663884577867; y=-0.932209757447905; t=23.453; error=0.0016770539870311922;
x=12.809932738907095; y=-0.9292673690898823; t=23.464; error=0.0019511447699300459;
x=12.796852474782689; y=-0.9272550207630506; t=23.475; error=0.0018699460981766284;
x=12.78400382669604; y=-0.9242899481276698; t=23.487; error=0.002024695370790653;
x=12.771057743723787; y=-0.9222982430550156; t=23.499; error=0.002079244611066872;
x=12.75911377422092; y=-0.9193122506792987; t=23.512; error=0.0021367128828524854;
x=12.74737208576821; y=-0.9163768285661213; t=23.526; error=0.0024018306892860724;
x=12.735263064513253; y=-0.9143586583569615; t=23.54; error=0.002291308972653345;
x=12.723857964091676; y=-0.9112481764238044; t=23.554; error=0.001874465818118116;
x=12.71158168579177; y=-0.9081791068488274; t=23.57; error=0.0015917943357053256;
x=12.70045156097632; y=-0.9051436182627961; t=23.585; error=0.0014586485091981605;
x=12.689264701516878; y=-0.9020926565920387; t=23.602; error=0.0012680911524177783;
x=12.677166596826021; y=-0.89805995502842; t=23.619; error=0.0011681364474731626;
x=12.667181214601731; y=-0.895064340361133; t=23.637; error=0.0011829656028021622;
x=12.656513869415475; y=-0.8902155470946531; t=23.654; error=0.001529137389879066;
x=12.646315304938557; y=-0.8871559777515778; t=23.672; error=0.0013245210985039521;
x=12.636352810444583; y=-0.8821747305045904; t=23.69; error=0.0013640479640422897;
x=12.626396911669866; y=-0.8791879608721755; t=23.707; error=0.0014095004444405251;
x=12.616434775803897; y=-0.874206892939191; t=23.724; error=0.0014496159131770611;
x=12.60552332555246; y=-0.8692471428249012; t=23.742; error=0.0015432434398624645;
x=12.595230935773621; y=-0.8641009479354818; t=23.759; error=0.0012350681618679379;
x=12.584229634314434; y=-0.8601004746775953; t=23.775; error=0.0012337324296913164;
x=12.573100782545179; y=-0.8540301918943657; t=23.792; error=0.0011011965139147773;
x=12.561180161234752; y=-0.8490632663483536; t=23.807; error=0.001181855816436256;
x=12.549463639887945; y=-0.8432050056749504; t=23.823; error=0.0014779272811422158;
