x=13.689; y=-1.035; t=22.524; error=0.0;
x=13.616; y=-1.026; t=22.581; error=0.0;
x=13.543; y=-1.019; t=22.638; error=0.0;
x=13.501; y=-1.011; t=22.678; error=0.0;
x=13.459; y=-1.008; t=22.719; error=0.0;
x=13.416; y=-1.0; t=22.761; error=0.0;
x=13.373; y=-0.997; t=22.802; error=0.0;
x=13.339; y=-0.99; t=22.84; error=0.0;
x=13.305; y=-0.989; t=22.878; error=0.0;
x=13.284; y=-0.983; t=22.909; error=0.0;
x=13.262; y=-0.982; t=22.94; error=0.0;
x=13.243; y=-0.979; t=22.969; error=0.0;
x=13.224; y=-0.978; t=22.998; error=0.0;
x=13.207; y=-0.975; t=23.026; error=0.0;
x=13.191; y=-0.975; t=23.054; error=0.0;
x=13.178; y=-0.973; t=23.079; error=0.0;
x=13.164; y=-0.972; t=23.104; error=0.0;
x=13.154; y=-0.971; t=23.124; error=0.0;
x=13.144; y=-0.971; t=23.145; error=0.0;
x=13.134; y=-0.97; t=23.165; error=0.0;
x=13.124; y=-0.969; t=23.185; error=0.0;
x=13.113; y=-0.969; t=23.203; error=0.0;
x=13.101; y=-0.968; t=23.222; error=0.0;
x=13.089; y=-0.968; t=23.239; error=0.0;
x=13.077; y=-0.966; t=23.257; error=0.0;
x=13.064; y=-0.966; t=23.272; error=0.0;
x=13.051; y=-0.964; t=23.287; error=0.0;
x=13.037; y=-0.964; t=23.3; error=0.0;
x=13.024; y=-0.962; t=23.313; error=0.0;
x=13.01; y=-0.961; t=23.325; error=0.0;
x=12.996; y=-0.959; t=23.336; error=0.0;
x=12.982; y=-0.958; t=23.347; error=0.0;
x=12.968; y=-0.955; t=23.357; error=0.0;
x=12.954; y=-0.954; t=23.366; error=0.0;
x=12.94; y=-0.951; t=23.375; error=0.0;
x=12.925; y=-0.95; t=23.384; error=0.0;
x=12.911; y=-0.947; t=23.393; error=0.0;
x=12.896; y=-0.945; t=23.403; error=0.0;
x=12.881; y=-0.942; t=23.412; error=0.0;
x=12.866; y=-0.94; t=23.422; error=0.0;
x=12.851; y=-0.937; t=23.432; error=0.0;
x=12.837; y=-0.935; t=23.443; error=0.0;
x=12.822; y=-0.932; t=23.453; error=0.0;
x=12.808; y=-0.929; t=23.464; error=0.0;
x=12.795; y=-0.927; t=23.475; error=0.0;
x=12.782; y=-0.924; t=23.487; error=0.0;
x=12.769; y=-0.922; t=23.499; error=0.0;
x=12.757; y=-0.919; t=23.512; error=0.0;
x=12.745; y=-0.916; t=23.526; error=0.0;
x=12.733; y=-0.914; t=23.54; error=0.0;
x=12.722; y=-0.911; t=23.554; error=0.0;
x=12.71; y=-0.908; t=23.57; error=0.0;
x=12.699; y=-0.905; t=23.585; error=0.0;
x=12.688; y=-0.902; t=23.602; error=0.0;
x=12.676; y=-0.898; t=23.619; error=0.0;
x=12.666; y=-0.895; t=23.637; error=0.0;
x=12.655; y=-0.89; t=23.654; error=0.0;
x=12.645; y=-0.887; t=23.672; error=0.0;
x=12.635; y=-0.882; t=23.69; error=0.0;
x=12.625; y=-0.879; t=23.707; error=0.0;
x=12.615; y=-0.874; t=23.724; error=0.0;
x=12.604; y=-0.869; t=23.742; error=0.0;
x=12.594; y=-0.864; t=23.759; error=0.0;
x=12.583; y=-0.86; t=23.775; error=0.0;
x=12.572; y=-0.854; t=23.792; error=0.0;
x=12.56; y=-0.849; t=23.807; error=0.0;
x=12.548; y=-0.843; t=23.823; error=0.0;
x=12.536; y=-0.838; t=23.837; error=0.0;
x=12.524; y=-0.833; t=23.852; error=0.0;
x=12.51; y=-0.827; t=23.866; error=0.0;
x=12.497; y=-0.822; t=23.88; error=0.0;
x=12.483; y=-0.817; t=23.893; error=0.0;
x=12.469; y=-0.812; t=23.906; error=0.0;
x=12.454; y=-0.806; t=23.92; error=0.0;
x=12.439; y=-0.801; t=23.934; error=0.0;
x=12.423; y=-0.796; t=23.949; error=0.0;
x=12.407; y=-0.791; t=23.964; error=0.0;
x=12.389; y=-0.787; t=23.982; error=0.0;
x=12.37; y=-0.782; t=24.0; error=0.0;
x=12.35; y=-0.777; t=24.021; error=0.0;
x=12.33; y=-0.771; t=24.042; error=0.0;
x=12.305; y=-0.767; t=24.071; error=0.0;
x=12.279; y=-0.761; t=24.1; error=0.0;
x=12.249; y=-0.756; t=24.136; error=0.0;
x=12.218; y=-0.75; t=24.172; error=0.0;
x=12.183; y=-0.745; t=24.214; error=0.0;
x=12.147; y=-0.739; t=24.256; error=0.0;
x=12.107; y=-0.733; t=24.304; error=0.0;
x=12.067; y=-0.727; t=24.352; error=0.0;
x=12.023; y=-0.721; t=24.405; error=0.0;
x=11.98; y=-0.715; t=24.458; error=0.0;
x=11.936; y=-0.709; t=24.511; error=0.0;
x=11.892; y=-0.703; t=24.564; error=0.0;
x=11.849; y=-0.697; t=24.615; error=0.0;
